(開発中) CM3D2 Motion (.anm)	(WIP) CM3D2 Motion (.anm)
CM3D2で使われてるボーン名(頂点グループ名)に戻します	Return to bone names (vertex group names) used in CM3D2
頂点グループ名をCM3D2用に戻しました	Returned a vertex group name for CM3D2
CM3D2用: 内部パス	CM3D2: In Path
内部パス	In Path
乳袋防止素体	Anti Milk Bag Figure
Tスタンス素体	T Stance Figure
Tスタンス素体 足のみ	T Stance Figure (Foot Only)
Tスタンス素体 手のみ	T Stance Figure (Hand Only)
CM3D2用の素体をインポート	Import Figures for CM3D2
CM3D2関係の素体を現在のシーンにインポートします	Import figures as CM3D2 the current scene
素体名	Figure Name
髪の房	Branch of Hair
髪の房を追加	Add Branch of Hair
アニメ調の髪の房を追加します	Add Branch of Toon Hair
房の半径	Radius of Branch
ランダム要素の強さ	Strength of Randam Effect
中間のZ軸の高さ	Z Axis Height
ホイール:太さ変更	Wheel:Change Radius
ホイールクリック:ランダム強度変更	Wheel Click:Change Random Strength
ZXキー:高さ変更	ZX Keys:Change Height
オブジェクトモードで実行してください	Please run in object mode
CM3D2 Converterの更新履歴	Change Log of CM3D2 Converter
%d日前	%d days before
%d時間前	%d hours before
%d分前	%d minutes before
%d秒前	%d seconds before
更新の取得に失敗しました	Failed Get Update Info
CM3D2 Converterを更新	Update CM3D2 Converter
更新後にBlenderを再起動	Restart Blender
再起動後にコンソールを閉じる	Close Console
CM3D2 Converterの設定画面を開く	Show Setting Panel of CM3D2 Converter
CM3D2 Converterアドオンの設定画面を表示します	Display the setting screen of CM3D2 Converter add-on
表示できるエリアが見つかりませんでした	Area that can be displayed could not be found
mateから	From mate
クリップボードから	From Clipboard
不明	Unknown
トゥーン	Toon
トゥーン 髪	Toon Hair
トゥーン 透過	Toon Trans
トゥーン 透過 NoZ	Toon Trans NoZ
トゥーン 輪郭線	Toon Outline
トゥーン 輪郭線 髪	Toon Outline Hair
トゥーン 輪郭線 透過	Toon Outline Trans
透過	Trans
発光	Emit
発光 透過	Emit Trans
モザイク	Mosaic
ご主人様	Man
リアル	Real
リアル 透過	Real Trans
法線	Normal
種類:	Type:
マテリアル名	Material Name
シェーダー1	Shader1
シェーダー2	Shader2
CM3D2用に変更	Change for CM3D2
CM3D2用マテリアルを新規作成	Create Material for CM3D2
種類	Type
オブジェクト名を設定してからの作成を推奨	Recommended creation of a from to set the object name
クリップボードからマテリアルを貼り付け	Paste Material by Clipboard
クリップボード内のマテリアル情報から新規マテリアルを作成します	Create new material from material information in the clipboard
クリップボードからマテリアルを貼り付けました	Pasted the material from the clipboard
マテリアルをクリップボードにコピー	Copy Clipboard Material
表示しているマテリアルをテキスト形式でクリップボードにコピーします	Copy the material to the clipboard in text format
マテリアルテキストをクリップボードにコピーしました	Copied the material text to the clipboard
マテリアルを装飾	Decorate Materials
スロット内のマテリアルを全て設定に合わせて装飾します	Decorate all to match material setting in slots
クイック・シェイプキー転送	Quick Transfer Shape Key
アクティブなメッシュに他の選択メッシュのシェイプキーを高速で転送します	The active mesh it will transfer the shape keys of other selected mesh at high speed
最初に全シェイプキーを削除	Remove All First
変形のないシェイプキーを削除	Remove Non-Shaped Shape Keys
高精度・シェイプキー転送	Precision Transfer Shape Key
範囲倍率	Range Multiple
シェイプキーの変形に乗算	Multiply Shape Key
シェイプキーの変形に数値を乗算し、変形の強度を増減させます	multiplied by number in deformation of the shape key, and increase or intensity of deformation
倍率	Scale
シェイプキーの拡大率です	Scale of Shape Key
アクティブのみ	Active Only
アクティブより上	Above Active
アクティブより下	Lower Active
全て	All
対象	Target
シェイプキーぼかし	Blur Shape Key
アクティブ、もしくは全てのシェイプキーをぼかします	Blur active or all shape key
強さ	Strength
増減両方	Add and Subtract
増加のみ	Add Only
減少のみ	Subtract Only
ぼかし効果	Bluer Effect
ライナー	Liner
スムーズ1	Smooth 1
スムーズ2	Smooth 2
減衰タイプ	Falloff Type
このシェイプキーをベースに	To Base This Shape Key
アクティブなシェイプキーを他のシェイプキーのベースにします	Make active shape key to base of other shape key
素メッシュを調整	Adjust Original Mesh
他シェイプを調整	Adjust Other Shapes
クイック・ウェイト転送	Quick Transfer Weights
アクティブなメッシュに他の選択メッシュの頂点グループを高速で転送します	The active mesh it will transfer the vertex group of other selected mesh at high speed
最初に全頂点グループを削除	Remove All First
割り当てのない頂点グループを削除	Remove Empty Vertex Groups
高精度・ウェイト転送	Precision Transfer Vertex Group
頂点グループぼかし	Blur Vertex Group
アクティブ、もしくは全ての頂点グループをぼかします	Blur active or all vertex group
他頂点グループも調節	Regulation Other Vertex Groups
頂点グループに乗算	Multiply Vertex Group
頂点グループのウェイトに数値を乗算し、ウェイトの強度を増減させます	Multiply by value to weight of vertex groups, to increase or decrease weights
CM3D2用ボーン情報	CM3D2 Bone Info
オブジェクトの位置を合わせる	Sync Object Origin
CM3D2用ベイク	Bakes for CM3D2
新規画像	New Image
擬似AO	Dirty AO
ヘミライト	Hemi Lamp
影	Shadow
側面陰	Side Shadow
金属	Metal
髪	Hair
ベイク用の画像を作成	Create Image for Bake
アクティブオブジェクトに素早くベイク用の空の画像を用意します	Provide empty image for quick bake in the active object
画像名	Image Name
幅	Width
高	Height
色	Color
新規画像設定	New Image Settings
AO・ベイク	Bake AO
アクティブオブジェクトに素早くAOをベイクします	Bake quickly AO in the Active Object
レイトレース	Raytrace
近似(AAO)	Approximate
処理方法	Method
精度	Samples
他オブジェクトの影響を受けない	Not affected by other objects
AO設定	AO Settings
擬似AO・ベイク	Bake Dirty AO
アクティブオブジェクトに素早く擬似AOをベイクします	Bake quickly dirty AO to the active object
ブラー強度	Blur Strength
ブラー反復度	Blur Iterations
ハイライト角度	Highlight Angle
擬似AO角度	Dirt Angle
擬似AOのみ	Dirt Only
擬似AO設定	Dirty AO Settings
ヘミライト・ベイク	Bake Hemi Lamp
アクティブオブジェクトに素早くヘミライトの陰をベイクします	Bake quickly hemi lamp to the active object
光の強さ	Lamp Power
AOを使用	Use AO
AOの精度	AO Samples
ヘミライト設定	Hemi Lamp Settings
影・ベイク	Bake Shadow
アクティブオブジェクトに素早く影をベイクします	Bake quickly shadow to the active object
光源の最大角度	Max Angle of Lamps
光源の数	Lamp Count
影のみ	Shadow Only
光源設定	Lamp Settings
側面陰・ベイク	Bake Side Shadow
アクティブオブジェクトに素早く側面陰をベイクします	Bake quickly side shade to the active object
金属・ベイク	Bake Matal
アクティブオブジェクトに素早く金属風にベイクします	Bake quickly metal to the active object
映り込み強さ	Reflection Strength
金属設定	Metal Settings
ヘアー・ベイク	Bake Hair
髪色	Hair Color
天使の輪の強さ	Angel Ring Factor
ヘアー設定	Hair Settings
CM3D2メニュー用のアイコンをレンダリング	Render Menu Icon for CM3D2
CM3D2内のアイコン画像に使用できそうな画像をレンダリングします	Render can likely image used for an icon image in CM3D2
面のテクスチャで	By Face Textures
今のマテリアルで	By Corrent Materials
モード	Mode
輪郭線を描画	Draw Line
線の太さ	Line Thickness
線の色	Line Color
解像度	Resolution
カメラ角度	Camera Angle
カメラ移動	Camera Move
ズーム倍率	Zoom Multi
背景を使用	Use Background
背景色	Background Color
テクスチャ参照方法	Texture Reference Method
輪郭線	Freestyle
設定値タイプ:	Value Type:
テクスチャ	Texture
値	Value
色同期	Color Sync
設定値名	Value Name
テクスチャ名	Texture Name
テクスチャパス	Texture Path
画像を表示	Show Image
texで保存	Save as tex
色の透明度	Color Alpha
自動設定	Set Auto
正確な値: 	Accurate Value: 
面の色を決定するテクスチャを指定。	Specifies texture to determine color of surface.
普段テスクチャと呼んでいるものは基本コレです。	What we call everyday and "texture" is the basic this.
テクスチャパスは適当でも動きます。	Texture path will move even appropriate.
しかし、テクスチャ名はきちんと決めましょう。	However, the texture name Let's decide properly.
暗い部分に乗算するグラデーション画像を指定します。	Specifies a gradient image to be multiplied in the dark part.
陰部分の面の色を決定するテクスチャを指定。	Specifies texture to determine color of surface of shade.
「_ShadowRateToon」で範囲を指定します。	Specify range by "_ShadowRateToon".
「_ShadowTex」を有効にする部分を指定します。	Specify parts to enable "_ShadowTex".
黒色で有効、白色で無効。	Enabled in black, disabled in white.
面の色を指定。	specifies color of a surface.
白色で無効。基本的に白色で良いでしょう。	Disabled in white. It would be a basically white.
影の色を指定。白色で無効。	Specifies color of shadow. Disabled in white.
別の物体に遮られてできた「影」の色です。	Was blocked by another object is color of "shadow".
リムライトの色を指定。	Specifies color of rim light.
リムライトとは縁にできる光の反射のことです。	"rim light" it is reflection of light that can be on edge.
輪郭線の色を指定。	Specifies color of an outline.
黒にするか、テクスチャの明度を	Either black, it would be better
落としたものを指定するとより良いでしょう。	if you specify what dropped the lightness of texture.
スペキュラーの強さを指定。0.0～1.0で指定。	Specifies strength of specular. Specified in 0.0 and 1.0.
スペキュラーとは面の角度と光源の角度によって	Specular by angle of light source
できるハイライトのことです。	highlight that will be generated.
金属、皮、ガラスなどに使うと良いでしょう。	Metal, leather, glass, you might want to use.
輪郭線の太さを指定。	Specifies thickness of outline.
0.002は太め、0.001は細め。	0.002 thick, 0.001 narrowed.
リムライトの強さを指定。	Specifies strength of rim light.
この値は10以上なことも多いです。	This value is often be a 10 or more.
0に近い値だと正常に表示されません。	Not displayed correctly that value close to 0.
リムライトの幅を指定。	Specifies width of rim light.
0.0～1.0で指定。0.5でもかなり強い。	Specified in 0.0 and 1.0. 0.5 Even fairly strong.
モザイクシェーダーにある設定値。	Setting value in mosaic shader
特に設定の必要なし。	No setting required
モザイクの大きさ？(未確認)	Mosaic Size
解説	Description
_ToonRamp 設定	_ToonRamp Settings
_ShadowRateToon 設定	_ShadowRateToon Settings
値リスト	Value List
指定の画像をUV/画像エディターに表示します	Display specified image to UV / image editor
指定された画像が見つかりません	Not Found Image
画像を表示できるエリアが見つかりませんでした	Area that can display the image could not be found
見つかりませんでした	Not Found
設定をテクスチャの色に同期	Sync Texture Color
この設定値をテクスチャの色に適用してわかりやすくします	Apply settings to color of texture
トゥーンを選択	Select Toons
CM3D2にデフォルトで入っているトゥーンテクスチャを選択できます	You can select a toon textures that comes by default CM3D2
パス	Path
色設定値を自動設定	Auto Set Color Values
色関係の設定値をテクスチャの色情報から自動で設定します	Set Colors automatically from color information of the texture
全てが対象	Target is All
彩度の乗算値	Saturation Multiply
明度の乗算値	Value Multiply
失敗しました	failed
同フォルダにtexとして保存しました	Saved as tex in same folder
CM3D2用:	CM3D2:
テキストを表示	Show Text
指定したテキストをこの領域に表示します	Displays the specified text in this area
テキスト名	Text Name
テキストのボーン情報をコピー	Copy Text Bone Info
テキストのボーン情報を貼り付け	Paste Text Bone Info
クリップボード内のボーン情報をテキストデータに貼り付けます	Paste the bones information in the clipboard to the text data
マテリアル情報テキストを全削除	Remove All Material Info Text
CM3D2で使用できるマテリアルテキストを全て削除します	Delete material texts that can be used in CM3D2
使用する分は保管	Storage Use Piece
現在のポーズで素体化	Set Prime Field by Now Poses
現在のポーズで衣装をモデリングしやすくする素体を作成します	Create figure to facilitate modeling the costume in the current pose
関係するメッシュのアーマチュアを適用	Apply Armatures that relate meshes
アーマチュア適用は体積を維持	Preserve Volume when Apply Armatures
カスタムメイド3D2のmodelファイルを書き出します	Export model file of CM3D2
エクスポート時のメッシュ等の拡大率です	This is the scale of mesh at time of export
model名	Model Name
基点ボーン名	Base Bone Name
テキスト	Text
オブジェクト内プロパティ	Property in Object
アーマチュア内プロパティ	Property in Armature
ボーン情報元	Bone Source
マテリアル	Material
マテリアル情報元	Material Source
データ名の連番を削除	Remove Number in Data Name
「○○.001」のような連番が付属したデータ名からこれらを削除します	Remove them from the serial number is included with the data name, such as "XXX.001"
四角面を三角面に	4 Polygon to 3 Polygon
ウェイトの合計を1.0に	Weights Total to 1.0
4つのウェイトの合計値が1.0になるように正規化します	Total four weights normalize so that 1.0
頂点グループ名をCM3D2用に変換	Convert Vertex Group Names for CM3D2
バッチモード	Batch Mode
モードの切替やエラー個所の選択を行いません	This does not mode switching and select error mesh
アクティブオブジェクトがありません	Not Found Active Object
メッシュオブジェクトを選択した状態で実行してください	Please running in a state in which you select mesh object
モディファイアを適用するか消してください	Apply or Remove Modifiers
マテリアルがありません	Not Found Material
空のマテリアルスロットを削除してください	Please delete an empty material slot
UVがありません	Not Found UV
メッシュオプション	Mesh Option
テキスト「BoneData」が見つかりません、中止します	Text "BoneData" can not be found, cancelled
テキスト「LocalBoneData」が見つかりません、中止します	Text "LocalBoneData" can not be found, cancelled
オブジェクトのカスタムプロパティにボーン情報がありません	There are no bones information on custom properties of the object
メッシュオブジェクトの親がアーマチュアではありません	Parent of mesh object is not armature
アーマチュアが見つかりません、親にするかモディファイアにして下さい	Armature can not be found, please add modifier or parent
アーマチュアのカスタムプロパティにボーン情報がありません	There are no bones information on custom properties of the armature
ボーン情報元のモードがおかしいです	Not Found Bone Info Source
マテリアル情報元のテキストが足りません	Material information source of the text is not enough
テキスト「BoneData」に有効なデータがありません	There is no valid data in the text "BoneData"
オブジェクト名の後半は存在するボーン名にして下さい	Please second half of the object names to exist in bone names
テキスト「LocalBoneData」に有効なデータがありません	There is no valid data in the text "LocalBoneData"
ウェイトが割り当てられていない頂点が見つかりました、中止します	Vertices that weight is not assigned found, cancelled
ウェイトの合計が1.0を超えている頂点が見つかりました	Found vertices total weight exceeds 1.0
ウェイトの合計が1.0未満の頂点が見つかりました	Sum of the weights found the vertex of less than 1.0
modelのエクスポートが完了しました	model export is now complete
カスタムメイド3D2のmodelファイルを読み込みます	Import model file of CM3D2
インポート時のメッシュ等の拡大率です	Scale of Meshes
メッシュ生成	Create Mesh
ポリゴンを読み込みます、大抵の場合オンでOKです	Read the polygons. And in most cases is good ON
重複頂点を結合	Remove Doubles
シームをつける	Add Seam
UVの切れ目にシームをつけます	Seam UV Break Edge
頂点グループ名をBlender用に変換	Convert Vertex Group Names for Blender
頂点グループを名前順ソート	Sort Vertex Groups
頂点グループを名前順でソートします	Sort Vertex Groups by Name
全ての頂点に割り当てのない頂点グループを削除します	Delete vertex group with no allocation to all vertices
テキストにマテリアル情報埋め込み	Add Material Info in Text
シェーダー情報をテキストに埋め込みます	Embeds the shader information in the text
アーマチュア生成	Create Armature
ウェイトを編集する時に役立つアーマチュアを読み込みます	Import the armature to help you edit weights
不要なボーンを削除	Remove Useless Bone
ウェイトが無いボーンを削除します	Remove Empty Weight Bones
アーマチュア整頓	Order Bone Directions
ボーンを分かりやすい向きに変更します	Order Bone Directions
ボーン情報をテキストとして読み込みます	Read the bone information as text
オブジェクトのカスタムプロパティ	Custom Property in Object
メッシュオブジェクトのカスタムプロパティにボーン情報を埋め込みます	Add bone informations to custom property in mesh object
アーマチュアのカスタムプロパティ	Custom Property in Armature
アーマチュアデータのカスタムプロパティにボーン情報を埋め込みます	Add bone informations on custom properties in armature data
メッシュ	Mesh
頂点グループ	Vertex Group
アーマチュア	Armature
ボーン名をBlender用に変換	Convert Bone Names for Blender
ボーン情報埋め込み場所	Location of Bone Info
これはカスタムメイド3D2のモデルファイルではありません	This is not a model file of CM3D2
modelのインポートが完了しました	Import of the model has been completed
texファイルを保存	Save as tex
CM3D2で使用されるテクスチャファイル(.tex)として保存します	Save as texture file (.tex) to be used in CM3D2
PNGファイルの取得に失敗しました	Failed to get PNG file
texファイルを開く	Open tex
CM3D2で使用されるテクスチャファイル(.tex)を読み込みます	Read texture file (.tex) to be used in CM3D2
内部にパックする	Pack
PNGに変換してPNGを開く	Convert PNG and Open PNG
展開方法	Open Type
ファイル > インポート/エクスポート > CM3D2 Model (.model)	File > Import/Export > CM3D2 Model (.model)
カスタムメイド3D2の専用ファイルのインポート/エクスポートを行います	This is done import / export of dedicated file for the CustomMaid3D2
CM3D2インストールフォルダ	CM3D2 Install Folder
変更している場合は設定しておくと役立つかもしれません	This might help if you set when you have changed
バックアップの拡張子 (空欄で無効)	Backup Extension (Disable if Empty)
Blenderでモデルを扱うときの拡大率	Scale when dealing with models in Blender
基本的にボーン名/ウェイト名をBlender用に変換	Basically Convert Bone/Weight Names for Blender
modelファイル置き場	Strage of model File
設定すれば、modelを扱う時は必ずここからファイル選択を始めます	If you set, you can start file selection always from here when you use model
modelインポート時のデフォルトパス	Default path at the time of model import
modelエクスポート時のデフォルトパス	Default path at the time of model export
anmファイル置き場	Strage of anm File
設定すれば、anmを扱う時は必ずここからファイル選択を始めます	If you set, you can start file selection always from here when you use anm
anmインポート時のデフォルトパス	Default Path of anm Import
anmエクスポート時のデフォルトパス	Default Path of anm Export
texファイル置き場	Strage of tex
設定すれば、texを扱う時は必ずここからファイル選択を始めます	If you set, you can start file selection always from here when you use tex
texインポート時のデフォルトパス	Default Path of tex Import
texエクスポート時のデフォルトパス	Default Path of tex Export
mateファイル置き場	Strage of mate File
設定すれば、mateを扱う時は必ずここからファイル選択を始めます	If you set, you can start file selection always from here when you use mate
mateインポート時のデフォルトパス	Default Path of mate Export
mateエクスポート時のデフォルトパス	Default path at the time of mate export
基本的にtexファイルを探す	Basically Search tex Files
texファイルを探すかどうかのオプションのデフォルト値を設定します	Set default value of whether option search tex file
texファイルを探す時はここから探します	When you look for a tex file looks for from here
テクスチャ設定値の色	Color of Texture Settings
_ToonRamp 名前	_ToonRamp Name
_ToonRamp パス	_ToonRamp Path
_ShadowRateToon 名前	_ShadowRateToon Name
_ShadowRateToon パス	_ShadowRateToon Path
ここの設定は「ユーザー設定の保存」ボタンを押すまで保存されていません	Here settings is not saved until you press the "Save User Settings" button
modelファイル	model File
ファイル選択時の初期フォルダ	Folder when File Select
anmファイル	anm File
texファイル	tex File
mateファイル	mate File
texファイル検索	Search tex Files
その1	1
その2	2
その3	3
その4	4
CM3D2用マテリアル新規作成時の初期値	Initial Settings when created material for CM3D2
